material_id,band_gaps
mp-763200,1.9412
mp-758329,4.7207
mp-22055,1.4940000000000009
mp-20651,1.6059
mp-1178219,2.9501
mp-1080184,1.5216000000000005
mp-1180816,2.8131
mp-22590,1.4358000000000004
mp-756290,3.6356
mp-559377,3.6374
mp-1187342,2.2006
mp-753945,3.6469
mp-555098,3.8943
mp-1298975,1.0143000000000004
mp-18961,2.4331
mp-1206970,3.2738
mp-978493,1.0351999999999997
mp-20783,1.5888
mp-9228,2.5605
mp-19205,1.5840000000000003
mp-19785,1.5029
mp-19269,2.54
mp-1187515,1.7685
mp-772801,2.4498
mp-754435,5.0767
mp-1016827,1.0992999999999995
mp-978952,1.1195999999999993
mp-1186316,1.811
mp-1105326,3.5085
mp-760405,4.566700000000001
mvc-5026,2.5587
mp-1101316,2.8024
mp-866101,2.0832000000000006
mp-3205,4.277699999999999
mp-31703,2.2005
mp-1207625,1.8093
mp-5899,4.4309
mp-12866,1.6193
mp-13863,3.549
mp-676851,3.048
mp-754202,5.4663
mp-4819,2.5362
mp-20407,1.7355
mp-23339,4.5138
mp-27815,2.4319
mp-2879,1.7637
mp-7986,1.4519000000000002
mp-1209329,1.3015999999999996
mp-1178577,2.1124
mp-774250,1.5922
mp-1209937,4.8869
mp-19353,1.8799
mp-761759,2.5639
mp-5924,5.906300000000001
mp-4784,1.3667999999999996
mp-562420,1.6183999999999998
mp-626528,2.5186
mp-625521,4.417
mp-20852,1.898
mp-756205,2.7215
mp-1105788,2.4814000000000003
mp-18656,3.4085999999999994
mvc-15767,1.9796
mp-759725,3.1274
mp-3136,1.5859
mp-9138,5.1031
mp-504651,3.1287
mp-753030,3.3637
mp-1178549,1.5968999999999998
mp-4342,1.5577
mp-849271,2.0109
mp-550506,5.3356
mp-28593,4.3589
mp-752435,4.5265
mp-754246,1.1078
mp-754919,3.026
mp-559354,1.8833
mp-23054,1.0783000000000005
mp-546079,5.1935
mp-31120,4.4598
mp-13514,5.1332
mp-743867,1.2773000000000003
mvc-14409,2.2781
mp-19440,2.826
mp-13374,4.3706000000000005
mp-1020193,2.9047
mp-29798,3.659
mp-20337,3.2477
mp-561949,2.2436000000000003
mp-776154,2.1356
mp-572291,1.0648
mp-7238,4.7415
mp-9812,3.5931
mvc-3996,1.4137999999999993
mp-28295,3.0624
mp-28853,1.8372
mp-4559,4.439500000000001
mp-756214,5.1176
mp-556235,5.0086
mp-10429,4.3316
mp-4651,1.8583000000000005
mp-755281,1.2588
mp-603930,4.5426
mp-3547,5.4544
mvc-4013,1.7418999999999998
mp-1216392,1.6544999999999996
mp-675625,3.0749
mp-755428,1.2271999999999998
mp-754853,4.4854
mp-20090,1.1342000000000003
mp-4356,3.5470999999999995
mp-935811,1.4742999999999995
mp-22989,3.7882
mp-22334,1.968
mvc-3788,2.2459
mp-754225,2.3002
mp-756452,4.5279
mp-19083,3.2406
mp-27186,2.6968
mp-19138,1.5421
mp-1078634,1.9641
mp-754409,5.1553
mp-755790,2.8705000000000007
mp-557997,4.263400000000001
mp-4551,3.7808
mp-1016928,2.5702000000000007
mp-561465,2.3226
mp-1180278,1.2189
mp-754318,1.7281
mvc-15871,1.1593
mp-754661,1.6497000000000002
mp-6920,3.0036
mp-1282570,1.2934
mp-760484,4.5068
mp-760457,4.599
mp-20032,1.5
mp-14628,1.3304
mp-754036,1.3463000000000005
mp-1178612,3.5718
mp-753525,3.2111
mp-1176491,2.5630999999999995
mp-770413,4.0237
mp-19376,1.8011999999999997
mp-1223446,2.873
mp-19097,1.5459
mp-4419,1.604
mp-4531,2.9609
mp-626536,2.5130000000000003
mp-559851,1.8454000000000008
mp-3033,3.5455
mp-3395,3.7241
mp-1185485,3.2096
mp-8516,3.2437
mp-4438,2.3514000000000004
mp-625509,4.4205000000000005
mp-4748,1.6831
mp-5690,3.1447000000000003
mp-3387,3.9381999999999993
mp-770932,2.6387
mp-23477,1.5698999999999996
mp-13334,1.0809999999999995
mp-626534,3.619
mp-19845,1.7600999999999996
mp-3731,3.3768
mp-760367,2.651
mp-1218370,4.6324000000000005
mp-22938,2.9013
mp-31118,4.359399999999999
mvc-14740,1.6267000000000005
mp-1212985,4.450099999999999
mp-762371,3.9347
mp-776441,1.8455
mp-1289597,1.1166999999999998
mp-775981,1.8436
mp-754098,2.0946
mp-7027,2.7242999999999995
mp-13641,2.9256
mp-3953,5.050000000000001
mp-1101265,3.6164
mp-672644,3.2301
mp-776474,3.0504
mp-1080575,3.4687
mp-1178360,2.6264
mp-19381,2.5424999999999995
mp-1176521,1.9504
mp-770472,4.5874
mp-763901,3.2576
mp-19147,3.3914000000000004
mp-1188449,1.0435999999999996
mp-7492,4.0454
mp-755382,2.1974
mp-4019,2.3053
mp-28602,2.4613
mp-552729,3.002
mp-10798,2.3238
mp-1105280,2.5071
mp-1542758,1.3228999999999995
mp-1020623,3.7582
mp-753611,4.5631
mp-1078259,3.9174
mp-555390,2.4587000000000003
mp-755003,2.7481
mp-778450,4.2257
mp-1278696,2.2281
mp-3316,2.2231
mp-22220,4.4289000000000005
mp-760762,3.6441
mp-3666,3.7746
mp-5223,3.2481
mp-1184546,2.9952
mp-974724,3.5923
mp-776984,2.5765
mp-755018,2.5625
mp-22616,1.8578
mp-1079050,2.6954
mp-22958,4.0763
mp-5431,2.8464
mp-19893,3.3407000000000004
mp-19319,1.0454000000000003
mp-754203,4.6071
mp-769347,5.007499999999999
mp-5076,3.5595
mp-558645,3.3311
mp-752613,1.0641999999999996
mp-770855,1.4702000000000002
mp-552185,1.8677
mp-605340,1.7866000000000004
mp-1078377,3.8162
mp-5246,2.1256000000000004
mp-850876,2.9193
mp-22949,1.8606
mp-34195,4.354299999999999
mp-22789,1.67
mp-1101339,3.884500000000001
mp-14142,3.0493
mvc-3876,2.0312
mp-1279343,1.0203000000000002
mp-1295957,1.1424000000000003
mp-753800,3.6661
mp-8216,4.4973
mp-19281,2.3706000000000005
mp-19074,1.6510999999999996
mp-22588,1.6083000000000005
mp-1248251,2.0139
mp-760477,4.4306
mp-3196,3.4702
mp-1187516,4.473199999999999
mp-1105822,2.0419
mp-626543,2.4708
mp-23528,2.4827
mp-606393,1.975
mp-769263,2.5935
mp-770779,1.6264000000000003
mp-550008,1.0351
mp-18269,2.6305
mp-3378,4.1772
mp-754157,2.169
mp-755138,2.648
mp-754936,5.3028
mp-624691,1.9367
mp-18815,3.0727
mp-3858,2.5927000000000007
mp-1183920,3.0169
mp-13109,3.9894
mp-16293,1.3601
mp-4391,4.6321
mp-18732,2.7244000000000006
mp-1016821,1.0186000000000002
mp-607467,1.1014999999999997
mp-1184563,1.5174000000000003
mp-4482,2.6801
mp-998552,3.941
mp-1101170,4.7426
mp-11623,2.7459
mp-4471,4.5931
mp-1220986,2.8906
mp-776593,4.4787
mp-985586,2.3358
mp-1279252,3.975
mp-1310374,3.0305
mp-5229,1.8274
mp-776439,4.632099999999999
mp-19853,1.6324
mp-985585,4.6814
mvc-14154,2.2622
mp-690525,3.3545000000000003
mp-4434,5.6054
mp-776093,2.6314
mp-4995,2.1517
mp-861502,1.1671000000000005
mp-1205362,1.0715
mvc-14736,2.2796000000000003
mp-1183152,3.3847000000000005
mp-3187,2.229
mp-558285,2.0453
mp-566602,1.7349
mp-1178268,1.9664
mp-1068742,3.6148000000000007
mp-8196,1.7613
mp-561954,1.1883999999999997
mp-1189614,4.044
mp-1178562,2.5145
mp-755231,2.1354999999999995
mp-1205638,1.5564
mp-1068577,2.8455000000000004
mp-865120,3.2191
mp-760701,3.4238
mp-38220,3.0358
mp-18841,2.195499999999999
mp-21872,4.8757
mp-756124,2.5126
mp-3283,3.3102
mp-29762,2.0531
mp-1187189,1.8015
mp-760461,4.2866
mp-8098,1.3361999999999998
mp-760178,2.8801
mp-756762,4.5702
mp-1017439,2.4638
mp-30058,2.4362000000000004
mp-1176435,1.2819000000000005
mp-546027,1.9907999999999992
mp-3047,2.499000000000001
mp-5827,1.8909
mp-6989,3.9277
mp-12958,3.0593999999999992
mp-754578,3.6067
mp-1178485,1.4107999999999996
mvc-15602,1.996500000000001
mp-761177,3.0293
mp-19062,1.8472
mp-755165,4.4314
mp-27941,2.6499
mp-757111,2.5202
mp-20459,1.9569
mp-19012,1.1542000000000003
mp-769734,1.5712000000000002
mp-541129,1.5603999999999996
mp-978504,2.9425
mp-755258,1.5817999999999994
mp-8275,1.3882
mp-674478,4.1863
mp-1178162,3.2235
mp-27994,3.2228000000000003
mp-27277,4.6845
mp-8627,5.2553
mp-1189731,3.2974
mp-22955,3.7485
mp-14254,2.942100000000001
mp-1080080,3.6667
mp-1019544,3.1177
mp-754712,2.943
mp-756469,4.634
mp-547792,2.6838
mp-4682,3.4758
mp-1173585,2.7742
mp-1222450,4.5176
mp-850193,5.5229
mp-676020,4.0287
mp-4571,3.826000000000001
mp-20570,1.1589999999999998
mp-22981,3.0753000000000004
mp-755213,4.1309
mp-561489,1.1875
mp-33753,2.7471
mp-8697,4.174099999999999
mp-760386,5.531
mp-756224,3.0938
mp-22103,1.0006
mp-555665,3.0385
mp-1184778,2.2124
mp-5020,2.6212
mp-556983,3.2520999999999995
mp-22599,1.2399999999999998
mp-3614,2.1532
mp-18725,2.3378
mp-755055,1.3886000000000005
mp-20798,1.8551
mp-546973,1.0309999999999997
mp-8130,2.051
mp-780619,4.1176
mp-9890,1.9511
mp-754009,3.2425
mp-29863,2.5362
mp-768310,3.0885000000000007
mp-754657,3.0309
mp-1101381,1.4817
mp-756272,4.3645
mvc-16572,1.1044
mp-20016,1.3323999999999998
mp-1186597,1.7849000000000004
mp-3771,3.5165000000000006
mp-760313,2.2058
mp-1180700,1.1271000000000004
mp-1206844,3.2138
mp-1178561,2.8464
mp-22518,1.1038
mvc-13441,1.0576999999999996
mp-23487,2.9493
mp-5158,2.9387
mp-756686,2.6071
