,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,material_id
0,18.8,56,8,18.74459922217597,11.297542946629182,16.834360519137142,0.2,2.028562835586709,3.3228849147204524,0.0,1.0885235951440146,1.8679999999999999,2.68,1.52,0.4640000000000001,0.000200068,0.001,0.0,0.000399966021676842,954.5,2200.0,317.5,801.432155581494,5.6,28.0,0.0,11.2,0.0,0.0,0.0,0.0,20.46,38.16,12.06,9.084932580927608,33.615947999999996,150.0,0.02658,58.60689775068405,570.2800000000001,1687.0,54.8,667.6648452629507,92.75999999999999,154.6,0.0,75.73822284685586,0.0,0.0,0.0,0.0,547.0400000000001,1486.0,35.4,635.9466443028062,21.919999999999998,100.0,0.0,39.216649525424785,12.0,47.0,0.0,18.20988742414406,0.0,0.0,0.0,0.0,0.9800000000000001,4.9,0.0,1.9600000000000002,0.0,0.0,0.0,0.0,1168.0,3510.0,0.0,1478.3693719771118,4.64e-06,2.06e-05,0.0,8.04328291184638e-06,1.162,1.49,0.54,0.323505795929532,0.406,1.49,0.0,0.5809509445727754,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1016821
1,11.6,22,8,5.425863986500215,11.346682732202552,26.344039855328738,0.4,2.0314997267975063,3.327695685838475,0.0,1.0900995263023907,1.6799999999999997,2.11,1.52,0.22986952821111364,8.88e-08,4e-07,0.0,1.5653038043779233e-07,1938.9,4602.0,317.5,1991.1683354252098,14.8,74.0,0.0,29.6,0.122,0.32,0.0,0.1497197381777032,15.344,17.36,10.64,2.6879999999999997,36.415948,160.0,0.02658,62.3753088582264,605.6800000000001,1941.0,54.8,747.5530493550273,92.75999999999999,154.6,0.0,75.73822284685586,0.08,0.4,0.0,0.16,433.0400000000001,1619.0,35.4,613.3355153584374,31.0,110.0,0.0,43.174066289845804,32.2,116.0,0.0,45.38017188156078,195.2,716.0,0.0,279.1919769620896,12.2,44.0,0.0,17.209299811439163,194.0,970.0,0.0,388.0,1249.0,4507.0,0.0,1762.593997493467,3.3600000000000004e-06,8.6e-06,0.0,4.117086348377939e-06,1.0983333333333332,1.26,0.8516666666666667,0.19801795653705528,0.3423333333333333,0.86,0.0,0.4192792757949183,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1016830
2,23.2,72,8,24.838679514016032,13.835672277829548,35.262577425403904,0.4,2.170337227501648,3.5551182869992872,0.0,1.1645995086327738,1.8199999999999998,2.31,1.52,0.3682933613303395,7.48e-08,3.4e-07,0.0,1.3325224200740488e-07,1554.5,3810.0,317.5,1535.986165302279,0.0,0.0,0.0,0.0,0.13599999999999998,0.37,0.0,0.16764247671756702,18.344,26.2,13.44,4.211192705160855,44.615947999999996,200.0,0.02658,78.19985682825215,757.0800000000002,2506.0,54.8,966.0661973177614,92.75999999999999,154.6,0.0,75.73822284685586,0.0256,0.128,0.0,0.0512,623.6400000000001,2370.0,35.4,904.2332920214783,25.4,110.0,0.0,42.80934477424292,19.6,78.0,0.0,30.209932141598728,373.4,1700.0,0.0,666.4459768053221,7.4799999999999995,30.0,0.0,11.619018891455507,352.0,1760.0,0.0,704.0,2972.0,13310.0,0.0,5203.742499394066,5.64e-06,2.23e-05,0.0,8.637731183592137e-06,1.154,1.26,0.85,0.15894653189044422,0.39799999999999996,1.14,0.0,0.49599999999999994,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1016873
3,17.2,48,8,15.574337867145426,9.486956602700698,16.213128378513346,0.2,1.9138274044627366,3.1349426796673647,0.0,1.0269567450635029,1.768,2.18,1.52,0.3047884512247799,0.000200014,0.001,0.0,0.00039999300091876606,1092.5,2310.0,317.5,949.8144555648751,19.0,67.0,0.0,26.336286754210434,0.06,0.3,0.0,0.12000000000000001,15.428,17.36,12.06,2.3848052331374983,49.415948,150.0,0.02658,62.768340006400805,489.12400000000014,1687.0,54.8,634.3286358852168,92.75999999999999,154.6,0.0,75.73822284685586,0.1034,0.517,0.0,0.20679999999999998,407.59600000000006,1486.0,35.4,562.1392696334246,28.4,100.0,0.0,39.322258327822425,19.4,50.0,0.0,23.778982316322963,40.6,203.0,0.0,81.2,3.8,19.0,0.0,7.6000000000000005,0.0,0.0,0.0,0.0,2196.0,8650.0,0.0,3350.800501372769,6.680000000000001e-06,3.08e-05,0.0,1.2101966782304438e-05,1.082,1.26,0.54,0.2788834882168537,0.326,1.09,0.0,0.4355043053748149,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1016879
4,10.0,14,8,2.5298221281347035,8.776612053725561,15.421705281256358,0.2,1.86481647934602,3.0546603926857396,0.0,1.000657560501171,1.6779999999999997,2.1,1.52,0.22613270440164115,0.0002000088,0.001,0.0,0.000399995600363004,1550.9,4602.0,317.5,1690.8204339905524,20.4,74.0,0.0,28.910897599348242,0.057999999999999996,0.29,0.0,0.11599999999999999,15.628,17.36,12.06,2.208188397759575,62.015948000000016,160.0,0.02658,75.98698979140532,554.8800000000001,1687.0,54.8,658.3992782499081,92.75999999999999,154.6,0.0,75.73822284685586,0.0,0.0,0.0,0.0,406.44000000000005,1486.0,35.4,562.0654965393268,29.0,100.0,0.0,39.54743986657038,18.4,47.0,0.0,22.544178849538962,52.0,260.0,0.0,104.0,3.4,17.0,0.0,6.8,0.0,0.0,0.0,0.0,813.6,2330.0,0.0,1013.8855162196569,2.16e-06,8.2e-06,0.0,3.1834572401714462e-06,1.036,1.26,0.54,0.29241067011995303,0.27999999999999997,0.86,0.0,0.3575471996813847,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1016928
5,15.2,38,8,11.634431657799192,10.121583704176128,15.17678524628267,0.2,1.955584657678077,3.2033430981090674,0.0,1.049363620806228,1.8299999999999996,2.49,1.52,0.39919919839598883,0.00020002700000000003,0.001,0.0,0.00039998650341730287,630.5,2200.0,0.0,794.32581476369,5.6,28.0,0.0,11.2,0.05600000000000001,0.28,0.0,0.11200000000000002,19.616,33.94,12.06,7.450351937995949,37.015947999999995,150.0,0.02658,58.09320113024532,580.2800000000001,1687.0,54.8,674.3669220832232,92.75999999999999,154.6,0.0,75.73822284685586,0.0,0.0,0.0,0.0,439.44000000000005,1486.0,35.4,567.8807818547834,20.0,100.0,0.0,40.0,9.4,47.0,0.0,18.800000000000004,0.0,0.0,0.0,0.0,1.22,6.1,0.0,2.44,0.0,0.0,0.0,0.0,992.0,2630.0,0.0,1218.6451493359336,5.02e-06,2.25e-05,0.0,8.797817911277774e-06,1.128,1.32,0.54,0.2949169374586682,0.372,1.32,0.0,0.5180887954781498,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mp-1017439
6,24.0,56,8,20.23857702507763,15.350039137575541,70.18423998435964,0.4,2.6375016022126703,4.240215311632658,0.0,1.0540162007653975,1.8940000000000001,2.68,1.52,0.4796498723027038,1.5460000000000002e-07,4.33e-07,0.0,1.916158657314159e-07,1274.5,3800.0,317.5,1359.7843579038554,0.0,0.0,0.0,0.0,0.068,0.34,0.0,0.136,20.851999999999997,38.16,14.02,8.750146055923866,8.215948,23.0,0.02658,10.153749177478042,658.48,2128.0,54.8,820.903595801602,92.76,154.6,0.0,75.73822284685586,0.122,0.61,0.0,0.244,760.64,2554.0,35.4,994.0078905119417,1.92,9.6,0.0,3.84,16.2,68.0,0.0,26.384844134464768,130.0,650.0,0.0,260.0,7.58,33.0,0.0,12.850898801251219,180.6,903.0,0.0,361.20000000000005,2004.2,6511.0,0.0,2631.6965174578927,5.26e-06,2.06e-05,0.0,7.981378327081106e-06,1.226,1.49,0.86,0.20352886773133683,0.47000000000000003,1.49,0.0,0.6091305278838026,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mp-1019544
7,20.4,40,8,15.2,14.422161214406312,69.34990263148893,0.4,2.70112901138147,4.640081531563481,0.0,1.095018755804965,1.8560000000000003,2.49,1.52,0.419647471099255,1.136e-07,4.33e-07,0.0,1.6804118542785873e-07,950.5,3800.0,0.0,1430.046677559862,0.0,0.0,0.0,0.0,0.12400000000000003,0.34,0.0,0.15304901175767194,20.008,33.94,14.02,7.085089695974215,11.615948,35.0,0.02658,14.692521089286753,668.48,2128.0,54.8,825.2957734049048,92.76,154.6,0.0,75.73822284685586,0.122,0.61,0.0,0.244,653.04,2554.0,35.4,975.7452815156219,0.0,0.0,0.0,0.0,13.6,68.0,0.0,27.2,130.0,650.0,0.0,260.0,7.82,33.0,0.0,12.809746289446952,180.6,903.0,0.0,361.20000000000005,1828.2,6511.0,0.0,2553.3681599017405,5.64e-06,2.25e-05,0.0,8.714264168591632e-06,1.192,1.32,0.86,0.16761861471805573,0.43600000000000005,1.32,0.0,0.5534473778056953,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mp-1020622
8,13.6,30,8,8.522910301065007,9.345862066245399,36.15543449582995,0.2,2.0930657720491,3.3689541080813408,0.0,0.8103364289419124,1.734,2.1,1.52,0.2636361128525453,0.000200012,0.001,0.0,0.0003999940006750101,1370.5,3700.0,317.5,1374.1228111053247,21.6,80.0,0.0,31.148675734290855,0.05,0.25,0.0,0.10000000000000002,14.660000000000002,17.36,9.16,3.4316176943243546,54.015947999999995,150.0,0.02658,66.80028282544271,508.816,1687.0,54.8,638.7981047435879,92.76,154.6,0.0,75.73822284685586,0.16999999999999998,0.85,0.0,0.33999999999999997,415.9039999999999,1486.0,35.4,562.9485902495893,34.0,100.0,0.0,42.708313008125245,31.0,108.0,0.0,42.5863828001393,82.4,412.0,0.0,164.8,8.6,43.0,0.0,17.2,0.0,0.0,0.0,0.0,1894.0,7140.0,0.0,2773.8896877850066,6.56e-06,3.02e-05,0.0,1.1862815854593713e-05,1.04,1.26,0.54,0.29010342983149995,0.284,0.88,0.0,0.3640659280954482,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mp-1020623
9,17.2,32,8,11.285388783732706,9.933942079152033,39.53076002938576,0.2,2.195673506018578,3.678990696628612,0.0,0.8603022396866303,1.736,2.11,1.52,0.2664282267328294,0.00010001199999999999,0.0005,0.0,0.00019999400135004046,2010.5,5400.0,317.5,2142.0489023362657,16.0,80.0,0.0,32.0,0.05,0.25,0.0,0.10000000000000002,14.974,17.36,9.16,3.246164505997809,36.015948,120.0,0.02658,47.988039276043935,413.696,1211.4,54.8,469.1658044487045,92.76,154.6,0.0,75.73822284685586,0.16999999999999998,0.85,0.0,0.33999999999999997,495.024,1881.6,35.4,715.0405610201425,14.0,70.0,0.0,28.0,21.6,108.0,0.0,43.2,82.4,412.0,0.0,164.8,8.6,43.0,0.0,17.2,0.0,0.0,0.0,0.0,2492.6,7140.0,0.0,3106.40162245644,7.24e-06,3.02e-05,0.0,1.1712830571642364e-05,1.0859999999999999,1.26,0.77,0.21592591322025248,0.32999999999999996,0.88,0.0,0.405659956120887,0.756,1.26,0.0,0.6172714151813609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mp-1020631
